GEOID,NAME,variable,estimate,moe
04003001602,Census Tract 16.02; Cochise County; Arizona,no_hs_den,2217,318
04003001602,Census Tract 16.02; Cochise County; Arizona,no_hs_num,29,33
04003001602,Census Tract 16.02; Cochise County; Arizona,poverty_den,3186,614
04003001602,Census Tract 16.02; Cochise County; Arizona,poverty_num,728,287
04003001602,Census Tract 16.02; Cochise County; Arizona,med_income,47769,10268
04003001602,Census Tract 16.02; Cochise County; Arizona,unemp_den,1401,291
04003001602,Census Tract 16.02; Cochise County; Arizona,unemp_num,64,45
04003001602,Census Tract 16.02; Cochise County; Arizona,no_ins_den,3086,621
04003001602,Census Tract 16.02; Cochise County; Arizona,no_ins_num,99,145
04003001701,Census Tract 17.01; Cochise County; Arizona,no_hs_den,2962,445
04003001701,Census Tract 17.01; Cochise County; Arizona,no_hs_num,53,58
04003001701,Census Tract 17.01; Cochise County; Arizona,poverty_den,4099,572
04003001701,Census Tract 17.01; Cochise County; Arizona,poverty_num,605,279
04003001701,Census Tract 17.01; Cochise County; Arizona,med_income,71318,14837
04003001701,Census Tract 17.01; Cochise County; Arizona,unemp_den,2201,421
04003001701,Census Tract 17.01; Cochise County; Arizona,unemp_num,140,98
04003001701,Census Tract 17.01; Cochise County; Arizona,no_ins_den,4124,578
04003001701,Census Tract 17.01; Cochise County; Arizona,no_ins_num,23,43
04023966000,Census Tract 9660; Santa Cruz County; Arizona,no_hs_den,2673,262
04023966000,Census Tract 9660; Santa Cruz County; Arizona,no_hs_num,19,19
04023966000,Census Tract 9660; Santa Cruz County; Arizona,poverty_den,3300,358
04023966000,Census Tract 9660; Santa Cruz County; Arizona,poverty_num,274,126
04023966000,Census Tract 9660; Santa Cruz County; Arizona,med_income,57569,13454
04023966000,Census Tract 9660; Santa Cruz County; Arizona,unemp_den,1077,210
04023966000,Census Tract 9660; Santa Cruz County; Arizona,unemp_num,93,56
04023966000,Census Tract 9660; Santa Cruz County; Arizona,no_ins_den,3353,362
04023966000,Census Tract 9660; Santa Cruz County; Arizona,no_ins_num,0,14
04001944100,Census Tract 9441; Apache County; Arizona,no_hs_den,3303,300
04001944100,Census Tract 9441; Apache County; Arizona,no_hs_num,99,35
04001944100,Census Tract 9441; Apache County; Arizona,poverty_den,5483,393
04001944100,Census Tract 9441; Apache County; Arizona,poverty_num,2316,387
04001944100,Census Tract 9441; Apache County; Arizona,med_income,29688,5829
04001944100,Census Tract 9441; Apache County; Arizona,unemp_den,1893,199
04001944100,Census Tract 9441; Apache County; Arizona,unemp_num,323,89
04001944100,Census Tract 9441; Apache County; Arizona,no_ins_den,6016,392
04001944100,Census Tract 9441; Apache County; Arizona,no_ins_num,331,109
04001945100,Census Tract 9451; Apache County; Arizona,no_hs_den,1581,188
04001945100,Census Tract 9451; Apache County; Arizona,no_hs_num,30,23
04001945100,Census Tract 9451; Apache County; Arizona,poverty_den,2547,316
04001945100,Census Tract 9451; Apache County; Arizona,poverty_num,944,241
04001945100,Census Tract 9451; Apache County; Arizona,med_income,32424,7654
04001945100,Census Tract 9451; Apache County; Arizona,unemp_den,851,167
04001945100,Census Tract 9451; Apache County; Arizona,unemp_num,74,44
04001945100,Census Tract 9451; Apache County; Arizona,no_ins_den,2547,316
04001945100,Census Tract 9451; Apache County; Arizona,no_ins_num,170,106
04005001500,Census Tract 15; Coconino County; Arizona,no_hs_den,3175,471
04005001500,Census Tract 15; Coconino County; Arizona,no_hs_num,45,69
04005001500,Census Tract 15; Coconino County; Arizona,poverty_den,3438,498
04005001500,Census Tract 15; Coconino County; Arizona,poverty_num,405,221
04005001500,Census Tract 15; Coconino County; Arizona,med_income,75625,14218
04005001500,Census Tract 15; Coconino County; Arizona,unemp_den,1288,302
04005001500,Census Tract 15; Coconino County; Arizona,unemp_num,84,80
04005001500,Census Tract 15; Coconino County; Arizona,no_ins_den,3438,498
04005001500,Census Tract 15; Coconino County; Arizona,no_ins_num,104,94
04005002000,Census Tract 20; Coconino County; Arizona,no_hs_den,1295,230
04005002000,Census Tract 20; Coconino County; Arizona,no_hs_num,0,14
04005002000,Census Tract 20; Coconino County; Arizona,poverty_den,1593,293
04005002000,Census Tract 20; Coconino County; Arizona,poverty_num,300,115
04005002000,Census Tract 20; Coconino County; Arizona,med_income,63059,3668
04005002000,Census Tract 20; Coconino County; Arizona,unemp_den,899,202
04005002000,Census Tract 20; Coconino County; Arizona,unemp_num,53,34
04005002000,Census Tract 20; Coconino County; Arizona,no_ins_den,1622,288
04005002000,Census Tract 20; Coconino County; Arizona,no_ins_num,37,32
04007000302,Census Tract 3.02; Gila County; Arizona,no_hs_den,2331,266
04007000302,Census Tract 3.02; Gila County; Arizona,no_hs_num,19,29
