GEOID,NAME,variable,estimate,moe
04003001602,Census Tract 16.02; Cochise County; Arizona,pop_total,3403,621
04003001602,Census Tract 16.02; Cochise County; Arizona,total_pop_r,3403,621
04003001602,Census Tract 16.02; Cochise County; Arizona,white_nh,1883,507
04003001602,Census Tract 16.02; Cochise County; Arizona,hispanic,798,327
04003001602,Census Tract 16.02; Cochise County; Arizona,total_occ,1511,224
04003001602,Census Tract 16.02; Cochise County; Arizona,renter,946,168
04003001701,Census Tract 17.01; Cochise County; Arizona,pop_total,4163,577
04003001701,Census Tract 17.01; Cochise County; Arizona,total_pop_r,4163,577
04003001701,Census Tract 17.01; Cochise County; Arizona,white_nh,2493,488
04003001701,Census Tract 17.01; Cochise County; Arizona,hispanic,1136,334
04003001701,Census Tract 17.01; Cochise County; Arizona,total_occ,1951,276
04003001701,Census Tract 17.01; Cochise County; Arizona,renter,913,218
04023966000,Census Tract 9660; Santa Cruz County; Arizona,pop_total,3354,362
04023966000,Census Tract 9660; Santa Cruz County; Arizona,total_pop_r,3354,362
04023966000,Census Tract 9660; Santa Cruz County; Arizona,white_nh,2695,299
04023966000,Census Tract 9660; Santa Cruz County; Arizona,hispanic,562,204
04023966000,Census Tract 9660; Santa Cruz County; Arizona,total_occ,1549,171
04023966000,Census Tract 9660; Santa Cruz County; Arizona,renter,360,140
04001944100,Census Tract 9441; Apache County; Arizona,pop_total,6026,391
04001944100,Census Tract 9441; Apache County; Arizona,total_pop_r,6026,391
04001944100,Census Tract 9441; Apache County; Arizona,white_nh,164,143
04001944100,Census Tract 9441; Apache County; Arizona,hispanic,155,74
04001944100,Census Tract 9441; Apache County; Arizona,total_occ,1488,116
04001944100,Census Tract 9441; Apache County; Arizona,renter,295,67
04001945100,Census Tract 9451; Apache County; Arizona,pop_total,2547,316
04001945100,Census Tract 9451; Apache County; Arizona,total_pop_r,2547,316
04001945100,Census Tract 9451; Apache County; Arizona,white_nh,67,37
04001945100,Census Tract 9451; Apache County; Arizona,hispanic,69,46
04001945100,Census Tract 9451; Apache County; Arizona,total_occ,756,85
04001945100,Census Tract 9451; Apache County; Arizona,renter,274,91
04005001500,Census Tract 15; Coconino County; Arizona,pop_total,3438,498
04005001500,Census Tract 15; Coconino County; Arizona,total_pop_r,3438,498
04005001500,Census Tract 15; Coconino County; Arizona,white_nh,3182,496
04005001500,Census Tract 15; Coconino County; Arizona,hispanic,130,77
04005001500,Census Tract 15; Coconino County; Arizona,total_occ,1846,286
04005001500,Census Tract 15; Coconino County; Arizona,renter,188,110
04005002000,Census Tract 20; Coconino County; Arizona,pop_total,1626,288
04005002000,Census Tract 20; Coconino County; Arizona,total_pop_r,1626,288
04005002000,Census Tract 20; Coconino County; Arizona,white_nh,1133,291
04005002000,Census Tract 20; Coconino County; Arizona,hispanic,119,111
04005002000,Census Tract 20; Coconino County; Arizona,total_occ,688,134
04005002000,Census Tract 20; Coconino County; Arizona,renter,212,125
04007000302,Census Tract 3.02; Gila County; Arizona,pop_total,2876,322
04007000302,Census Tract 3.02; Gila County; Arizona,total_pop_r,2876,322
04007000302,Census Tract 3.02; Gila County; Arizona,white_nh,2517,301
04007000302,Census Tract 3.02; Gila County; Arizona,hispanic,197,136
04007000302,Census Tract 3.02; Gila County; Arizona,total_occ,1292,138
