GEOID,NAME,variable,estimate,moe
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,pop_total,836,411
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,total_pop_r,836,411
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,white_nh,495,272
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,hispanic,0,14
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,total_occ,517,226
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,renter,338,168
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,pop_total,2041,678
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,total_pop_r,2041,678
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,white_nh,528,502
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,hispanic,1403,392
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,total_occ,511,121
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,renter,96,54
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,pop_total,1628,567
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,total_pop_r,1628,567
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,white_nh,235,109
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,hispanic,642,282
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,total_occ,772,241
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,renter,722,240
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,pop_total,1050,290
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,total_pop_r,1050,290
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,white_nh,1033,290
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,hispanic,17,27
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,total_occ,623,146
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,renter,0,14
040133194015,Block Group 5; Census Tract 3194.01; Maricopa County; Arizona,pop_total,876,298
