GEOID,NAME,variable,estimate,moe
01003,"Baldwin County, Alabama",no_hs_den,171988,153
01003,"Baldwin County, Alabama",no_hs_num,1422,384
01003,"Baldwin County, Alabama",poverty_den,236041,360
01003,"Baldwin County, Alabama",poverty_num,24819,2285
01003,"Baldwin County, Alabama",med_income,75019,2751
01003,"Baldwin County, Alabama",unemp_den,113778,1904
01003,"Baldwin County, Alabama",unemp_num,3615,584
01003,"Baldwin County, Alabama",no_ins_den,236704,281
01003,"Baldwin County, Alabama",no_ins_num,2617,825
01069,"Houston County, Alabama",no_hs_den,74490,29
01069,"Houston County, Alabama",no_hs_num,962,143
01069,"Houston County, Alabama",poverty_den,106448,98
01069,"Houston County, Alabama",poverty_num,19198,1099
01069,"Houston County, Alabama",med_income,57531,1310
01069,"Houston County, Alabama",unemp_den,48960,715
01069,"Houston County, Alabama",unemp_num,2220,237
01069,"Houston County, Alabama",no_ins_den,106495,96
01069,"Houston County, Alabama",no_ins_num,803,188
01005,"Barbour County, Alabama",no_hs_den,17628,71
01005,"Barbour County, Alabama",no_hs_num,214,85
01005,"Barbour County, Alabama",poverty_den,21650,108
01005,"Barbour County, Alabama",poverty_num,4746,617
01005,"Barbour County, Alabama",med_income,44290,2762
01005,"Barbour County, Alabama",unemp_den,9085,428
01005,"Barbour County, Alabama",unemp_num,518,192
01005,"Barbour County, Alabama",no_ins_den,21685,96
01005,"Barbour County, Alabama",no_ins_num,255,194
01119,"Sumter County, Alabama",no_hs_den,7121,178
01119,"Sumter County, Alabama",no_hs_num,32,42
01119,"Sumter County, Alabama",poverty_den,9963,215
01119,"Sumter County, Alabama",poverty_num,2801,460
01119,"Sumter County, Alabama",med_income,37981,5607
01119,"Sumter County, Alabama",unemp_den,4678,449
01119,"Sumter County, Alabama",unemp_num,400,188
01119,"Sumter County, Alabama",no_ins_den,11871,31
01119,"Sumter County, Alabama",no_ins_num,112,95
05091,"Miller County, Arkansas",no_hs_den,28871,175
05091,"Miller County, Arkansas",no_hs_num,494,177
05091,"Miller County, Arkansas",poverty_den,41304,136
05091,"Miller County, Arkansas",poverty_num,8694,906
05091,"Miller County, Arkansas",med_income,49983,2774
05091,"Miller County, Arkansas",unemp_den,17867,860
05091,"Miller County, Arkansas",unemp_num,1284,300
05091,"Miller County, Arkansas",no_ins_den,41407,82
05091,"Miller County, Arkansas",no_ins_num,794,355
05133,"Sevier County, Arkansas",no_hs_den,9598,125
05133,"Sevier County, Arkansas",no_hs_num,489,140
05133,"Sevier County, Arkansas",poverty_den,15533,180
05133,"Sevier County, Arkansas",poverty_num,3049,576
05133,"Sevier County, Arkansas",med_income,51641,5749
05133,"Sevier County, Arkansas",unemp_den,6901,328
05133,"Sevier County, Arkansas",unemp_num,336,155
05133,"Sevier County, Arkansas",no_ins_den,15690,7
05133,"Sevier County, Arkansas",no_ins_num,540,172
05093,"Mississippi County, Arkansas",no_hs_den,25927,90
05093,"Mississippi County, Arkansas",no_hs_num,490,178
05093,"Mississippi County, Arkansas",poverty_den,38746,203
05093,"Mississippi County, Arkansas",poverty_num,8150,1175
05093,"Mississippi County, Arkansas",med_income,53428,4079
05093,"Mississippi County, Arkansas",unemp_den,18710,653
05093,"Mississippi County, Arkansas",unemp_num,1563,346
05093,"Mississippi County, Arkansas",no_ins_den,38946,33
05093,"Mississippi County, Arkansas",no_ins_num,639,264
06037,"Los Angeles County, California",no_hs_den,6911969,NA
06037,"Los Angeles County, California",no_hs_num,308850,5439
06037,"Los Angeles County, California",poverty_den,9693427,2112
06037,"Los Angeles County, California",poverty_num,1322476,15552
