GEOID,NAME,variable,estimate,moe
01003,"Baldwin County, Alabama",pop_total,239945,NA
01003,"Baldwin County, Alabama",total_pop_r,239945,NA
01003,"Baldwin County, Alabama",white_nh,195347,1001
01003,"Baldwin County, Alabama",hispanic,13393,NA
01003,"Baldwin County, Alabama",total_occ,94642,1316
01003,"Baldwin County, Alabama",renter,21261,1446
01069,"Houston County, Alabama",pop_total,107628,NA
01069,"Houston County, Alabama",total_pop_r,107628,NA
01069,"Houston County, Alabama",white_nh,68699,337
01069,"Houston County, Alabama",hispanic,4680,NA
01069,"Houston County, Alabama",total_occ,42581,402
01069,"Houston County, Alabama",renter,15365,475
01005,"Barbour County, Alabama",pop_total,24757,NA
01005,"Barbour County, Alabama",total_pop_r,24757,NA
01005,"Barbour County, Alabama",white_nh,10807,195
01005,"Barbour County, Alabama",hispanic,1490,NA
01005,"Barbour County, Alabama",total_occ,9080,315
01005,"Barbour County, Alabama",renter,2952,265
01119,"Sumter County, Alabama",pop_total,12020,NA
01119,"Sumter County, Alabama",total_pop_r,12020,NA
01119,"Sumter County, Alabama",white_nh,3051,52
01119,"Sumter County, Alabama",hispanic,100,94
01119,"Sumter County, Alabama",total_occ,4765,221
01119,"Sumter County, Alabama",renter,1448,288
05091,"Miller County, Arkansas",pop_total,42588,NA
05091,"Miller County, Arkansas",total_pop_r,42588,NA
05091,"Miller County, Arkansas",white_nh,28251,208
05091,"Miller County, Arkansas",hispanic,1683,NA
05091,"Miller County, Arkansas",total_occ,16311,455
05091,"Miller County, Arkansas",renter,5654,471
05133,"Sevier County, Arkansas",pop_total,15797,NA
05133,"Sevier County, Arkansas",total_pop_r,15797,NA
05133,"Sevier County, Arkansas",white_nh,8471,150
05133,"Sevier County, Arkansas",hispanic,5538,NA
05133,"Sevier County, Arkansas",total_occ,5697,249
05133,"Sevier County, Arkansas",renter,1977,309
05093,"Mississippi County, Arkansas",pop_total,39749,NA
05093,"Mississippi County, Arkansas",total_pop_r,39749,NA
05093,"Mississippi County, Arkansas",white_nh,22402,194
05093,"Mississippi County, Arkansas",hispanic,1861,NA
05093,"Mississippi County, Arkansas",total_occ,15381,363
05093,"Mississippi County, Arkansas",renter,6241,484
06037,"Los Angeles County, California",pop_total,9848406,NA
06037,"Los Angeles County, California",total_pop_r,9848406,NA
06037,"Los Angeles County, California",white_nh,2477324,3444
06037,"Los Angeles County, California",hispanic,4753369,NA
06037,"Los Angeles County, California",total_occ,3390254,6035
06037,"Los Angeles County, California",renter,1828047,7874
06087,"Santa Cruz County, California",pop_total,266021,NA
06087,"Santa Cruz County, California",total_pop_r,266021,NA
06087,"Santa Cruz County, California",white_nh,145237,509
06087,"Santa Cruz County, California",hispanic,93116,NA
06087,"Santa Cruz County, California",total_occ,96873,848
06087,"Santa Cruz County, California",renter,38771,1404
06097,"Sonoma County, California",pop_total,485642,NA
