GEOID,NAME,variable,estimate,moe
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,no_hs_den,347,208
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,no_hs_num,0,14
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,poverty_den,NA,NA
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,poverty_num,NA,NA
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,med_income,54716,23854
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,unemp_den,516,280
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,unemp_num,18,29
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,no_ins_den,836,411
040133184005,Block Group 5; Census Tract 3184; Maricopa County; Arizona,no_ins_num,0,14
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,no_hs_den,1194,393
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,no_hs_num,31,31
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,poverty_den,NA,NA
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,poverty_num,NA,NA
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,med_income,56174,15922
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,unemp_den,924,363
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,unemp_num,42,38
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,no_ins_den,2041,678
040131091011,Block Group 1; Census Tract 1091.01; Maricopa County; Arizona,no_ins_num,60,75
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,no_hs_den,952,324
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,no_hs_num,24,37
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,poverty_den,NA,NA
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,poverty_num,NA,NA
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,med_income,61500,15500
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,unemp_den,1012,354
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,unemp_num,0,14
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,no_ins_den,1628,567
040131162053,Block Group 3; Census Tract 1162.05; Maricopa County; Arizona,no_ins_num,54,72
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,no_hs_den,1050,290
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,no_hs_num,0,14
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,poverty_den,NA,NA
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,poverty_num,NA,NA
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,med_income,65384,13499
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,unemp_den,224,140
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,unemp_num,0,14
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,no_ins_den,1050,290
040130405063,Block Group 3; Census Tract 405.06; Maricopa County; Arizona,no_ins_num,0,14
040133194015,Block Group 5; Census Tract 3194.01; Maricopa County; Arizona,no_hs_den,438,185
040133194015,Block Group 5; Census Tract 3194.01; Maricopa County; Arizona,no_hs_num,0,14
040133194015,Block Group 5; Census Tract 3194.01; Maricopa County; Arizona,poverty_den,NA,NA
040133194015,Block Group 5; Census Tract 3194.01; Maricopa County; Arizona,poverty_num,NA,NA
040133194015,Block Group 5; Census Tract 3194.01; Maricopa County; Arizona,med_income,90489,69189
040133194015,Block Group 5; Census Tract 3194.01; Maricopa County; Arizona,unemp_den,662,254
040133194015,Block Group 5; Census Tract 3194.01; Maricopa County; Arizona,unemp_num,19,31
040133194015,Block Group 5; Census Tract 3194.01; Maricopa County; Arizona,no_ins_den,876,298
040133194015,Block Group 5; Census Tract 3194.01; Maricopa County; Arizona,no_ins_num,0,14
040138109002,Block Group 2; Census Tract 8109; Maricopa County; Arizona,no_hs_den,1205,216
040138109002,Block Group 2; Census Tract 8109; Maricopa County; Arizona,no_hs_num,0,14
040138109002,Block Group 2; Census Tract 8109; Maricopa County; Arizona,poverty_den,NA,NA
040138109002,Block Group 2; Census Tract 8109; Maricopa County; Arizona,poverty_num,NA,NA
040138109002,Block Group 2; Census Tract 8109; Maricopa County; Arizona,med_income,122438,26387
040138109002,Block Group 2; Census Tract 8109; Maricopa County; Arizona,unemp_den,1032,250
040138109002,Block Group 2; Census Tract 8109; Maricopa County; Arizona,unemp_num,37,44
040138109002,Block Group 2; Census Tract 8109; Maricopa County; Arizona,no_ins_den,1627,356
040138109002,Block Group 2; Census Tract 8109; Maricopa County; Arizona,no_ins_num,0,14
040134220012,Block Group 2; Census Tract 4220.01; Maricopa County; Arizona,no_hs_den,881,378
040134220012,Block Group 2; Census Tract 4220.01; Maricopa County; Arizona,no_hs_num,148,164
040134220012,Block Group 2; Census Tract 4220.01; Maricopa County; Arizona,poverty_den,NA,NA
040134220012,Block Group 2; Census Tract 4220.01; Maricopa County; Arizona,poverty_num,NA,NA
040134220012,Block Group 2; Census Tract 4220.01; Maricopa County; Arizona,med_income,38125,20585
040134220012,Block Group 2; Census Tract 4220.01; Maricopa County; Arizona,unemp_den,830,389
040134220012,Block Group 2; Census Tract 4220.01; Maricopa County; Arizona,unemp_num,53,57
040134220012,Block Group 2; Census Tract 4220.01; Maricopa County; Arizona,no_ins_den,1863,866
040134220012,Block Group 2; Census Tract 4220.01; Maricopa County; Arizona,no_ins_num,247,298
040134226572,Block Group 2; Census Tract 4226.57; Maricopa County; Arizona,no_hs_den,507,174
040134226572,Block Group 2; Census Tract 4226.57; Maricopa County; Arizona,no_hs_num,0,14
