GEOID,NAME,variable,estimate,moe
040130820022,"Block Group 2, Census Tract 820.02, Maricopa County, Arizona",no_hs_den,1548,399
040130820022,"Block Group 2, Census Tract 820.02, Maricopa County, Arizona",no_hs_num,0,12
040130820022,"Block Group 2, Census Tract 820.02, Maricopa County, Arizona",poverty_den,NA,NA
040130820022,"Block Group 2, Census Tract 820.02, Maricopa County, Arizona",poverty_num,NA,NA
040130820022,"Block Group 2, Census Tract 820.02, Maricopa County, Arizona",med_income,57675,18704
040130820022,"Block Group 2, Census Tract 820.02, Maricopa County, Arizona",unemp_den,1482,360
040130820022,"Block Group 2, Census Tract 820.02, Maricopa County, Arizona",unemp_num,98,101
040130820022,"Block Group 2, Census Tract 820.02, Maricopa County, Arizona",no_ins_den,2401,626
040130820022,"Block Group 2, Census Tract 820.02, Maricopa County, Arizona",no_ins_num,148,129
040134202081,"Block Group 1, Census Tract 4202.08, Maricopa County, Arizona",no_hs_den,876,194
040134202081,"Block Group 1, Census Tract 4202.08, Maricopa County, Arizona",no_hs_num,16,17
040134202081,"Block Group 1, Census Tract 4202.08, Maricopa County, Arizona",poverty_den,NA,NA
040134202081,"Block Group 1, Census Tract 4202.08, Maricopa County, Arizona",poverty_num,NA,NA
040134202081,"Block Group 1, Census Tract 4202.08, Maricopa County, Arizona",med_income,80433,14958
040134202081,"Block Group 1, Census Tract 4202.08, Maricopa County, Arizona",unemp_den,767,221
040134202081,"Block Group 1, Census Tract 4202.08, Maricopa County, Arizona",unemp_num,20,34
040134202081,"Block Group 1, Census Tract 4202.08, Maricopa County, Arizona",no_ins_den,1654,405
040134202081,"Block Group 1, Census Tract 4202.08, Maricopa County, Arizona",no_ins_num,33,37
040131166063,"Block Group 3, Census Tract 1166.06, Maricopa County, Arizona",no_hs_den,1645,466
040131166063,"Block Group 3, Census Tract 1166.06, Maricopa County, Arizona",no_hs_num,8,13
040131166063,"Block Group 3, Census Tract 1166.06, Maricopa County, Arizona",poverty_den,NA,NA
040131166063,"Block Group 3, Census Tract 1166.06, Maricopa County, Arizona",poverty_num,NA,NA
040131166063,"Block Group 3, Census Tract 1166.06, Maricopa County, Arizona",med_income,75556,24824
040131166063,"Block Group 3, Census Tract 1166.06, Maricopa County, Arizona",unemp_den,1332,375
040131166063,"Block Group 3, Census Tract 1166.06, Maricopa County, Arizona",unemp_num,109,103
040131166063,"Block Group 3, Census Tract 1166.06, Maricopa County, Arizona",no_ins_den,3017,965
040131166063,"Block Group 3, Census Tract 1166.06, Maricopa County, Arizona",no_ins_num,7,14
040130715121,"Block Group 1, Census Tract 715.12, Maricopa County, Arizona",no_hs_den,1114,276
040130715121,"Block Group 1, Census Tract 715.12, Maricopa County, Arizona",no_hs_num,11,17
040130715121,"Block Group 1, Census Tract 715.12, Maricopa County, Arizona",poverty_den,NA,NA
040130715121,"Block Group 1, Census Tract 715.12, Maricopa County, Arizona",poverty_num,NA,NA
040130715121,"Block Group 1, Census Tract 715.12, Maricopa County, Arizona",med_income,56506,16866
040130715121,"Block Group 1, Census Tract 715.12, Maricopa County, Arizona",unemp_den,961,279
040130715121,"Block Group 1, Census Tract 715.12, Maricopa County, Arizona",unemp_num,95,65
040130715121,"Block Group 1, Census Tract 715.12, Maricopa County, Arizona",no_ins_den,1585,376
040130715121,"Block Group 1, Census Tract 715.12, Maricopa County, Arizona",no_ins_num,17,30
040131032062,"Block Group 2, Census Tract 1032.06, Maricopa County, Arizona",no_hs_den,939,188
040131032062,"Block Group 2, Census Tract 1032.06, Maricopa County, Arizona",no_hs_num,0,12
040131032062,"Block Group 2, Census Tract 1032.06, Maricopa County, Arizona",poverty_den,NA,NA
040131032062,"Block Group 2, Census Tract 1032.06, Maricopa County, Arizona",poverty_num,NA,NA
040131032062,"Block Group 2, Census Tract 1032.06, Maricopa County, Arizona",med_income,124375,20122
040131032062,"Block Group 2, Census Tract 1032.06, Maricopa County, Arizona",unemp_den,702,102
040131032062,"Block Group 2, Census Tract 1032.06, Maricopa County, Arizona",unemp_num,24,16
040131032062,"Block Group 2, Census Tract 1032.06, Maricopa County, Arizona",no_ins_den,1375,252
040131032062,"Block Group 2, Census Tract 1032.06, Maricopa County, Arizona",no_ins_num,0,12
040132168073,"Block Group 3, Census Tract 2168.07, Maricopa County, Arizona",no_hs_den,773,185
040132168073,"Block Group 3, Census Tract 2168.07, Maricopa County, Arizona",no_hs_num,0,12
040132168073,"Block Group 3, Census Tract 2168.07, Maricopa County, Arizona",poverty_den,NA,NA
040132168073,"Block Group 3, Census Tract 2168.07, Maricopa County, Arizona",poverty_num,NA,NA
040132168073,"Block Group 3, Census Tract 2168.07, Maricopa County, Arizona",med_income,106518,35835
040132168073,"Block Group 3, Census Tract 2168.07, Maricopa County, Arizona",unemp_den,471,161
040132168073,"Block Group 3, Census Tract 2168.07, Maricopa County, Arizona",unemp_num,39,46
040132168073,"Block Group 3, Census Tract 2168.07, Maricopa County, Arizona",no_ins_den,984,273
040132168073,"Block Group 3, Census Tract 2168.07, Maricopa County, Arizona",no_ins_num,0,12
040132171021,"Block Group 1, Census Tract 2171.02, Maricopa County, Arizona",no_hs_den,1006,214
040132171021,"Block Group 1, Census Tract 2171.02, Maricopa County, Arizona",no_hs_num,0,12
040132171021,"Block Group 1, Census Tract 2171.02, Maricopa County, Arizona",poverty_den,NA,NA
040132171021,"Block Group 1, Census Tract 2171.02, Maricopa County, Arizona",poverty_num,NA,NA
040132171021,"Block Group 1, Census Tract 2171.02, Maricopa County, Arizona",med_income,74766,30470
040132171021,"Block Group 1, Census Tract 2171.02, Maricopa County, Arizona",unemp_den,774,168
040132171021,"Block Group 1, Census Tract 2171.02, Maricopa County, Arizona",unemp_num,11,18
040132171021,"Block Group 1, Census Tract 2171.02, Maricopa County, Arizona",no_ins_den,1236,310
040132171021,"Block Group 1, Census Tract 2171.02, Maricopa County, Arizona",no_ins_num,0,12
040138160002,"Block Group 2, Census Tract 8160, Maricopa County, Arizona",no_hs_den,1574,319
040138160002,"Block Group 2, Census Tract 8160, Maricopa County, Arizona",no_hs_num,0,12
040138160002,"Block Group 2, Census Tract 8160, Maricopa County, Arizona",poverty_den,NA,NA
040138160002,"Block Group 2, Census Tract 8160, Maricopa County, Arizona",poverty_num,NA,NA
040138160002,"Block Group 2, Census Tract 8160, Maricopa County, Arizona",med_income,136316,23078
040138160002,"Block Group 2, Census Tract 8160, Maricopa County, Arizona",unemp_den,1265,261
040138160002,"Block Group 2, Census Tract 8160, Maricopa County, Arizona",unemp_num,76,93
040138160002,"Block Group 2, Census Tract 8160, Maricopa County, Arizona",no_ins_den,2922,599
040138160002,"Block Group 2, Census Tract 8160, Maricopa County, Arizona",no_ins_num,0,12
040131043012,"Block Group 2, Census Tract 1043.01, Maricopa County, Arizona",no_hs_den,1124,247
040131043012,"Block Group 2, Census Tract 1043.01, Maricopa County, Arizona",no_hs_num,0,12
040131043012,"Block Group 2, Census Tract 1043.01, Maricopa County, Arizona",poverty_den,NA,NA
040131043012,"Block Group 2, Census Tract 1043.01, Maricopa County, Arizona",poverty_num,NA,NA
040131043012,"Block Group 2, Census Tract 1043.01, Maricopa County, Arizona",med_income,54688,7743
040131043012,"Block Group 2, Census Tract 1043.01, Maricopa County, Arizona",unemp_den,813,249
040131043012,"Block Group 2, Census Tract 1043.01, Maricopa County, Arizona",unemp_num,86,74
040131043012,"Block Group 2, Census Tract 1043.01, Maricopa County, Arizona",no_ins_den,1758,503
040131043012,"Block Group 2, Census Tract 1043.01, Maricopa County, Arizona",no_ins_num,56,57
040131099004,"Block Group 4, Census Tract 1099, Maricopa County, Arizona",no_hs_den,541,227
040131099004,"Block Group 4, Census Tract 1099, Maricopa County, Arizona",no_hs_num,18,24
040131099004,"Block Group 4, Census Tract 1099, Maricopa County, Arizona",poverty_den,NA,NA
040131099004,"Block Group 4, Census Tract 1099, Maricopa County, Arizona",poverty_num,NA,NA
040131099004,"Block Group 4, Census Tract 1099, Maricopa County, Arizona",med_income,30602,11687
040131099004,"Block Group 4, Census Tract 1099, Maricopa County, Arizona",unemp_den,272,140
040131099004,"Block Group 4, Census Tract 1099, Maricopa County, Arizona",unemp_num,37,34
